Notes,Score,evidence
Video,1.5,A detailed 11 minute video documenting every step of the working in youtube: https://www.youtube.com/watch?v=aCjcT1CHAzU&ab_channel=SunehaBose
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,2,Each member worked on different functionality.
"but nevertheless, here is a track record that everyone is contributing a lot)",1.5,"Evidence of different member's contributions: , as can be seen in: https://github.com/sak007/MyDollarBot-BOTGo/graphs/contributors"
Number of commits,2,465 commits as seen on Github
Number of commits: by different people,2,https://github.com/sak007/MyDollarBot-BOTGo/graphs/commit-activity
Issues reports: there are many,1.5,There are many issues including 16 open issues: https://github.com/sak007/MyDollarBot-BOTGo/issues
Issues are being closed,1,26 Issues are closed but 16 issues are open still open.
DOI badge: exists,2.5,Present in the Github repo
"Docs: doco generated, format not ugly",2.5,Detailed description of the functionalities which provides clarity on how to use it: https://github.com/sak007/MyDollarBot-BOTGo/tree/main/docs
Docs: what: point descriptions of each class/function (in isolation),2,"Clear and concise description of each feature, including information on how to execute them in: https://github.com/sak007/MyDollarBot-BOTGo/blob/main/docs/delete.md"
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",0,Absence of mini tutorials to show working of examples.
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2.5,Updated documentation for each feature -> https://github.com/sak007/MyDollarBot-BOTGo/tree/main/docs
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",1,A detailed 11 minute video documenting every step of the working in youtube but the video is not attractive. It is basic and dull
Use of version control tools,2,Github is used 
Use of style checkers,2,Used Flake 8 and updated in travis.yml as evidenced in: https://github.com/sak007/MyDollarBot-BOTGo/blob/main/.travis.yml
Use of code formatters.,1.5,config files in GH showing your this formatter's config
Use of syntax checkers.,2,"Use of Flake8, updated in travis.yml -> https://github.com/sak007/MyDollarBot-BOTGo/blob/main/.travis.yml"
Use of code coverage,2.5,Code coverage is 90% as reported on Github
Other automated analysis tools,2,https://github.com/sak007/MyDollarBot-BOTGo/blob/main/.travis.yml
Test cases exist,2,110 test cases with coverage > 80% for each file -> https://github.com/sak007/MyDollarBot-BOTGo/tree/main/test
Test cases are routinely executed,1.5,Test cases are routinely executed as evidenced by: https://app.codecov.io/gh/sak007/MyDollarBot-BOTGo
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,2,Extensive tips and information on how to extend the system as seen in: https://github.com/sak007/MyDollarBot-BOTGo/blob/main/CONTRIBUTING.md
Issues are discussed before they are closed,1.5,Issues being discussed and then closed as can be seen in: https://github.com/sak007/MyDollarBot-BOTGo/issues?q=is%3Aopen+is%3Aissue
Chat channel: exists,1,
Test cases: a large proportion of the issues related to handling failing cases.,1,https://github.com/sak007/MyDollarBot-BOTGo/issues
Evidence that the whole team is using the same tools: everyone can get to all tools and files,1,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",0.5,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",1.5,
Evidence that the members of the team are working across multiple places in the code base,1.5,
Short release cycles,1,2 Releases -> https://github.com/sak007/MyDollarBot-BOTGo/releases
"Does your website and documentation provide a clear, high-level overview of your software?*",Yes,Can be evidenced by: https://github.com/sak007/MyDollarBot-BOTGo/tree/main/docs
Does your website and documentation clearly describe the type of user who should use your software?*,Yes,Can be evidenced by: https://github.com/sak007/MyDollarBot-BOTGo/blob/main/README.md
Do you publish case studies to show how your software has been used by yourself and others,No,
Is the name of your project/software unique,No,
Question 2.2: Is your project/software name free from trademark violations?*,Yes,
Question 3.1: Is your software available as a package that can be deployed without building it?*,No,
Question 3.2: Is your software available for free?*,Yes,It can be forked or cloned from Github.
"Question 3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?*",Yes,It can be downloaded as a zip file or git clone https://github.com/usmanwardag/dollar_bot/tree/main
"Question 3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?*",Yes,Hosted on github as evidenced by: https://github.com/usmanwardag/dollar_bot/tree/main
Q4 - Your software's documentation,,
Question 4.1: Is your documentation clearly available on your website or within your software?*,Yes,https://github.com/usmanwardag/dollar_bot/blob/main/README.md
"Question 4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?*",Yes,A detailed 11 mins video uploaded on youtube explaining everything.
"Question 4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?*",Yes,
"Question 4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?*",Yes,
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?*,Yes,
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?*",Yes,
Question 4.7: Do you store your documentation under revision control with your source code?*,Yes,
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?*",Yes,
Q5 - How you support your software,,
Question 5.1: Does your software describe how a user can get help with using your software?*,Yes,
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?*",Yes,
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?*,Yes,
Question 5.4: Are e-mails to your support e-mail address received by more than one person?*,Yes,
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?*,Yes,
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?*",Yes,
Q6 - Your software's maintainability,,
Question 6.1: Is your software’s architecture and design modular?*,Yes,
Question 6.2: Does your software use an accepted coding standard or convention?*,Yes,
Q7 - Open standards and your software,,
Question 7.1: Does your software allow data to be imported and exported using open data formats?*,Yes,
Question 7.2: Does your software allow communications using open communications protocols?*,Yes,
Q8 - Your software's portability,,
Question 8.1: Is your software cross-platform compatible?*,Yes,
Q9 - Your software and accessibility,Yes,
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?*,Yes,
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?*,Yes,
Q10 - How you manage your source code,,
Question 10.1: Is your source code stored in a repository under revision control?*,Yes,
Question 10.2: Is each source code release a snapshot of the repository?*,Yes,
Question 10.3: Are releases tagged in the repository?*,Yes,
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)*",Yes,
Question 10.5: Do you back-up your repository?*,Yes,
Q11 - Building and installing your software,Yes,
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?*,Yes,
"Question 11.2: Can you build, or package, your software using an automated tool?*",Yes,
Question 11.3: Do you provide publicly-available instructions for deploying your software?*,Yes,
Question 11.4: Does your documentation list all third-party dependencies?*,Yes,
Question 11.5: Does your documentation list the version number for all third-party dependencies?*,Yes,
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?*",Yes,
Question 11.7: Can you download dependencies using a dependency management tool or package manager?*,Yes,
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?*,Yes,
Q12 - How you test your software,,
Question 12.1: Do you have an automated test suite for your software?*,Yes,https://github.com/usmanwardag/dollar_bot -> Testing section
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?*,Yes,
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?*",Yes,
Question 12.4: Are your test results publicly visible?*,Yes,
Question 12.5: Are all manually-run tests documented?*,Yes,
Q13 - How you engage with your community,Yes,
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?*",No,
Question 13.2: Does your website state how many projects and users are associated with your project?*,No,
Question 13.3: Do you provide success stories on your website?*,No,
Question 13.4: Do you list your important partners and collaborators on your website?*,Yes,
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?*,Yes,
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?*,Yes,
Question 13.7: Can users subscribe to notifications to changes to your source code repository?*,Yes,
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?*",Yes,
Q14 - How you manage contributions,,
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?*",Yes,
Question 14.2: Do you have a contributions policy?*,Yes,
Question 14.3: Is your contributions' policy publicly available?*,Yes,
Question 14.4: Do contributors keep the copyright/IP of their contributions?*,Yes,
Q15 - Your software's copyright and licensing,Yes,
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?*,Yes,
Question 15.2: Does each of your source code files include a copyright statement?*,Yes,
Question 15.3: Does your website and documentation clearly state the licence of your software?*,Yes,
Question 15.4: Is your software released under an open source licence?*,Yes,
Question 15.5: Is your software released under an OSI-approved open-source licence?*,Yes,
Question 15.6: Does each of your source code files include a licence header?*,Yes,
Question 15.7: Do you have a recommended citation for your software?*,No,
Q16 - Your plans for the future,,
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?*",Yes,https://github.com/usmanwardag/dollar_bot/tree/main -> Future Roadmap section
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?*",No,
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?*",No,
