Notes,Score,evidence
Video,0,Video is not present
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,2,Different members worked on different sections of the project
"but nevertheless, here is a track record that everyone is contributing a lot)",2,As Evidenced by: https://github.com/harshitpatel96/GITS/graphs/contributors
Number of commits,3,271 commits as evidenced on Github
Number of commits: by different people,2,https://github.com/harshitpatel96/GITS/graphs/commit-activity
Issues reports: there are many,2.5,Total 24 issues are reported
Issues are being closed,3,All 24 issues are closed as evidenced by: https://github.com/harshitpatel96/GITS/issues
DOI badge: exists,3,As evidenced by: https://zenodo.org/record/4046799
"Docs: doco generated, format not ugly",2.5,Clear and concise format as evidenced by: https://github.com/harshitpatel96/GITS/tree/master/docs
Docs: what: point descriptions of each class/function (in isolation),3,Detailed explaination of each and every function is present in the github as evidenced by: https://github.com/harshitpatel96/GITS/tree/master/docs
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,Some tutorials explaining working use cases is present: https://github.com/harshitpatel96/GITS/tree/master/docs
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,All the functions are explained in a simple to understand and detailed manner as evidenced by: https://github.com/harshitpatel96/GITS/tree/master/docs
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",0,No video: animated or otherwise is present.
Use of version control tools,3,Used Github as version control tool
Use of style checkers,2.5,As Evidenced by: https://github.com/harshitpatel96/GITS/blob/master/.travis.yml
Use of code formatters.,2.5,As Evidenced by: https://github.com/harshitpatel96/GITS/blob/master/.travis.yml
Use of syntax checkers.,2.5,As Evidenced by: https://github.com/harshitpatel96/GITS/blob/master/.travis.yml
Use of code coverage,2.5,91% code coverage as evidenced by: https://app.codecov.io/gh/harshitpatel96/GITS
Other automated analysis tools,0,
Test cases exist,3,dozens of tests and those test cases are more than 30% of the code base
Test cases are routinely executed,3,https://github.com/harshitpatel96/GITS/tree/master/test
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/harshitpatel96/GITS/blob/master/CONTRIBUTING.md
